model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires
Volkswagen,66816,110,diesel,silver,hatchback,False,True,False,False,True,False,True
BMW,118380,100,diesel,brown,suv,False,True,False,False,False,False,True
Opel,87036,120,diesel,black,hatchback,True,True,False,False,True,False,True
Citroën,98755,120,diesel,brown,sedan,True,True,False,False,False,False,True
Citroën,159316,135,diesel,grey,estate,False,True,False,False,False,False,True
Mercedes,97677,105,diesel,white,sedan,False,False,False,False,False,False,True
Renault,124822,120,diesel,black,sedan,True,True,False,False,True,False,True
BMW,116214,85,diesel,blue,subcompact,False,False,False,False,False,False,True
Peugeot,136442,105,diesel,silver,estate,False,True,False,False,False,False,True
Ferrari,119441,190,diesel,black,sedan,True,True,False,True,True,False,True
BMW,177515,100,diesel,brown,suv,False,True,False,False,False,False,True
Citroën,16284,135,diesel,blue,sedan,False,True,False,False,False,False,True
Renault,126551,120,diesel,black,estate,True,True,False,False,True,False,True
Audi,176176,120,diesel,grey,hatchback,True,True,False,False,False,True,True
Peugeot,122196,105,diesel,blue,sedan,False,True,False,False,False,False,True
Maserati,185874,225,diesel,black,sedan,True,True,True,False,True,False,True
Nissan,116298,135,diesel,grey,suv,True,True,True,True,True,False,True
Nissan,51193,105,diesel,black,suv,False,True,False,False,False,False,True
BMW,132797,85,diesel,grey,hatchback,True,True,True,False,True,True,True
Honda,94374,225,hybrid_petrol,brown,sedan,True,True,False,False,True,True,True
Renault,190311,120,diesel,blue,sedan,True,True,False,False,True,False,True
Audi,162106,230,diesel,black,estate,True,True,True,True,True,False,True
Renault,156841,120,diesel,brown,sedan,True,True,False,False,False,False,True
Citroën,224562,100,diesel,black,subcompact,False,False,False,False,False,False,True
Citroën,143180,135,diesel,black,estate,False,True,False,False,True,False,True
Audi,129698,160,diesel,grey,sedan,True,True,False,True,True,True,True
Peugeot,107565,105,diesel,black,estate,False,True,True,False,True,False,True
Nissan,130391,105,diesel,beige,suv,False,False,False,True,True,False,True
Renault,157831,135,diesel,grey,estate,True,True,False,False,True,False,True
Peugeot,133178,100,diesel,black,estate,True,True,True,False,True,True,True
Audi,49871,190,diesel,black,estate,True,False,False,False,True,False,True
Audi,60250,100,diesel,black,sedan,True,True,False,False,True,True,True
Citroën,145805,120,diesel,brown,sedan,False,False,False,False,False,False,False
Nissan,162987,100,diesel,grey,suv,False,True,False,False,False,False,True
Renault,222898,120,diesel,black,estate,True,True,False,False,False,False,True
Peugeot,164889,105,diesel,grey,estate,False,True,False,False,False,False,True
Citroën,184223,120,diesel,white,estate,False,True,False,False,False,True,True
BMW,99233,190,diesel,grey,suv,True,False,False,True,False,False,True
Peugeot,123254,100,diesel,red,sedan,False,False,False,False,False,True,True
Peugeot,163998,100,diesel,silver,estate,True,True,False,False,True,False,True
BMW,82906,135,diesel,silver,suv,False,True,True,True,True,False,True
